Taxa	Alice00-1mio.daa	Alice01-1mio.daa	Alice03-1mio.daa	Alice06-1mio.daa	Alice08-1mio.daa	Alice34-1mio.daa
1470347	582.0	809.0	594.0			2922.0
657322	772.0	841.0	565.0			3490.0
75682	349.0	14.0				
718252	848.0	575.0	508.0			1209.0
46503	900.0	1051.0	1380.0	1654.0		2503.0
1288121	602.0	870.0				
46506	730.0	714.0	1647.0	21277.0	17525.0	1610.0
68525	46.0	23.0				
657319	507.0		1222.0			
1263037	350.0					
1263036	1335.0	1603.0	1243.0			1092.0
186802	54872.0	36835.0	111241.0	19970.0	24051.0	43677.0
186803	4338.0	2637.0	7883.0	4160.0	8363.0	2791.0
186801	1247.0	1109.0	1515.0	420.0	410.0	1034.0
186806	36.0	23.0	33.0	11.0	16.0	46.0
91061	301.0	230.0	498.0			314.0
186813	261.0	252.0	320.0	458.0	480.0	146.0
200643	2558.0	2795.0	2340.0	2636.0	1959.0	2574.0
1783257	215.0	187.0		55.0	53.0	299.0
552397	292.0	218.0	357.0	419.0		314.0
185291	263.0	294.0				177.0
80840	201.0	178.0		877.0	780.0	137.0
1485	6015.0	4979.0	4110.0	815.0	694.0	6136.0
976	12000.0	14426.0	8661.0	9336.0	7847.0	9646.0
1263040	3254.0	2942.0				2486.0
28116	1721.0	2182.0	466.0	5153.0	14086.0	2044.0
201174	73.0	66.0	95.0	101.0		31.0
28117	4236.0	4849.0	3563.0			3412.0
28118	558.0	426.0				
74201	287.0	409.0		33.0	2.0	685.0
131567	2298.0	2412.0	1910.0	608.0	512.0	2296.0
1783272	4391.0	4163.0	5467.0	676.0	1007.0	4094.0
35832	354.0					
1263080	436.0		1035.0			
580596	93.0		96.0			
1783270	266.0	291.0	235.0	281.0	253.0	242.0
375288	9785.0	8756.0	15090.0	17760.0	2355.0	26202.0
216572	201.0	162.0	280.0	14.0	20.0	105.0
10239	11.0	16.0	12.0			
847		353.0				
411485		372.0				1278.0
1262969		749.0				14688.0
1262692		358.0				
1262952		377.0				4771.0
1262999		435.0	575.0		614.0	741.0
717959		348.0				
1263095		389.0	604.0		902.0	
333046		1.0				
1279		8.0				7.0
1			6215.0	7839.0	8082.0	
1262878			577.0			
33039			442.0		399.0	
1715004			526.0			
1262910			485.0			
1897011			1049.0			
1897004			368.0			
876091			393.0			
39490			1015.0	631.0		
39496			532.0			
40520			1290.0			
1150298			386.0	744.0	1750.0	
428128			709.0			
151659			390.0			
162156			959.0	1077.0	705.0	
329854			977.0	1091.0	540.0	
1163670			561.0	608.0		
1263000			489.0			2266.0
449673			370.0	5043.0	4221.0	
871324			581.0	803.0	1271.0	
1262989			784.0			
1470345			1371.0	1360.0	631.0	
1263038			517.0	476.0		
537012			1140.0	1060.0	521.0	
418240			697.0			
1256908			471.0			
301301			474.0	412.0	1064.0	
626931			626.0	676.0		
1650661			579.0			
338188				1702.0	3014.0	
1262883				448.0	595.0	
411476				433.0	1293.0	
762984				565.0	433.0	
328812				999.0	726.0	
371601				846.0	1629.0	
1263039				403.0		
292800				444.0	438.0	
1339352				433.0		
28111				691.0	702.0	
1073351				1659.0	1413.0	
1263053				2181.0	1774.0	
376806				1018.0	849.0	
556259				728.0	2492.0	
626929				839.0	612.0	
290053					499.0	
411479					594.0	485.0
469590					789.0	
1407607					1.0	
1379690					659.0	
