Taxa	Bob00-1mio.daa	Bob01-1mio.daa	Bob03-1mio.daa	Bob06-1mio.daa	Bob08-1mio.daa	Bob34-1mio.daa
1506553				533.0		
765821				742.0		
84086				152.0		
765820				135.0	468.0	440.0
329854				467.0	967.0	
1262979					5854.0	
1720194					439.0	
1349822					1241.0	
665949					5032.0	
1099853					1028.0	
997873					414.0	
1263055						429.0
